Product_ID,Artisan_Name,Cluster,Product_Name,Craft_Category,Units_Produced,Selling_Price,Revenue,Inventory_Status
ART075,Raunak Joshi,Adilabad,Cotton Shawl,Handloom,15,3690,55350,Available
ART076,Jhanvi Mammen,Hyderabad,Leather Wallet,Leather Craft,12,4996,59952,Low Stock
ART077,Kashvi Ravi,Hyderabad,Bamboo Lamp,Bamboo Craft,49,491,24059,Low Stock
ART078,Vidur Goda,Warangal,Bamboo Basket,Bamboo Craft,8,3425,27400,High Demand
ART079,Jayant Sandal,Khammam,Decor Item,Clay Art,48,3258,156384,High Demand
ART080,Ranbir Kuruvilla,Adilabad,Handmade Kurti,Embroidery,29,1986,57594,Available
ART081,Tanya Krishna,Nizamabad,Decorative Showpiece,Handicrafts,34,2588,87992,Available
ART082,Badal Jhaveri,Nalgonda,Bamboo Lamp,Bamboo Craft,23,237,5451,Low Stock
ART083,Jayan Sinha,Medak,Handmade Gift Box,Handicrafts,18,4307,77526,High Demand
ART084,Yuvaan Ghose,Medak,Handmade Necklace,Jewelry,37,1967,72779,Low Stock
ART085,Tanya Vohra,Adilabad,Handloom Saree,Handloom,34,483,16422,Available
ART086,Diya Verma,Nizamabad,Cotton Bedsheet,Textile,13,2584,33592,Available
ART087,Saira Walla,Hyderabad,Designer Cushion,Embroidery,26,817,21242,High Demand
ART088,Keya Kothari,Karimnagar,Bamboo Basket,Bamboo Craft,41,4391,180031,Low Stock
ART089,Arnav Rana,Adilabad,Designer Saree,Textile,16,4972,79552,Available
ART090,Aaina Ray,Adilabad,Wall Decor,Wood Craft,22,4134,90948,High Demand
ART091,Samar Biswas,Adilabad,Handmade Belt,Leather Craft,42,2942,123564,Low Stock
ART092,Onkar Sagar,Siddipet,Designer Saree,Textile,50,4385,219250,High Demand
ART093,Tejas Sridhar,Mahabubnagar,Handmade Belt,Leather Craft,14,1138,15932,Available
ART094,Taran Devan,Mahabubnagar,Bamboo Basket,Bamboo Craft,11,2454,26994,Available
ART095,Purab Deshmukh,Nalgonda,Embroidery Dupatta,Embroidery,24,3579,85896,High Demand
ART096,Rohan Raju,Karimnagar,Handloom Saree,Handloom,36,1112,40032,High Demand
ART097,Anahita Sampath,Khammam,Bamboo Basket,Bamboo Craft,37,4191,155067,High Demand
ART098,Jiya Boase,Karimnagar,Handmade Belt,Leather Craft,19,3578,67982,High Demand
ART099,Devansh Gokhale,Hyderabad,Leather Wallet,Leather Craft,50,3229,161450,Low Stock
ART100,Navya Aurora,Khammam,Handmade Belt,Leather Craft,11,4399,48389,High Demand
